index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.bangkokpost.com/thailand/special-reports/3039026/bangkok-girds-for-big-rains,https://www.bangkokpost.com/thailand/special-reports/3039026/bangkok-girds-for-big-rains,0,www.bangkokpost.com,Bangkok girds for big rains,"As Thailand officially enters the 2025 monsoon season, concerns about prolonged heavy rainfall and potential flooding are rising, particularly in Bangkok.",https://static.bangkokpost.com/media/content/20250601/c1_3039026_250601061216_700.jpg,2025-06-01T01:12:00Z,https://web.archive.org/web/20250601073304/https://www.bangkokpost.com/thailand/special-reports/3039026/bangkok-girds-for-big-rains,"As Thailand officially enters the 2025 monsoon season, concerns about prolonged heavy rainfall and potential flooding are rising, particularly in Bangkok.
Already, fears abound that this year will b… [+7794 chars]",,en,'flooding rain'
https://economictimes.indiatimes.com/news/india/northeast-india-faces-deadly-floods-and-landslides-over-30-reported-dead-assam-and-arunachal-among-worst-hit/articleshow/121544816.cms,https://economictimes.indiatimes.com/news/india/northeast-india-faces-deadly-floods-and-landslides-over-30-reported-dead-assam-and-arunachal-among-worst-hit/articleshow/121544816.cms,0,economictimes.indiatimes.com,"Northeast India faces deadly floods and landslides: Over 30 reported dead, Assam and Arunachal among worst hit","Heavy rains triggered by a depression over north Bangladesh and Meghalaya caused deadly landslides and floods across five northeastern states in India, killing at least 32 people in 24 hours. Assam, Arunachal Pradesh, Meghalaya, Mizoram, and Nagaland bore the…","https://img.etimg.com/thumb/msid-121544821,width-1200,height-630,imgsize-1892917,overlay-economictimes/articleshow.jpg",2025-06-01T02:34:36Z,https://web.archive.org/web/20250601032747/https://economictimes.indiatimes.com/news/india/northeast-india-faces-deadly-floods-and-landslides-over-30-reported-dead-assam-and-arunachal-among-worst-hit/articleshow/121544816.cms,"At least 32 people have died in the past 24 hours as heavy rains battered five northeastern states of India. A depression over north Bangladesh and adjoining Meghalaya triggered intense rainfall, lea… [+5454 chars]",,en,'floods'
https://economictimes.indiatimes.com/news/india/build-satellite-towns-instead-of-giving-extra-fsi-to-get-out-of-infrastructure-chakravyuha-gadgil/articleshow/121545068.cms,https://economictimes.indiatimes.com/news/india/build-satellite-towns-instead-of-giving-extra-fsi-to-get-out-of-infrastructure-chakravyuha-gadgil/articleshow/121545068.cms,0,economictimes.indiatimes.com,Build satellite towns instead of giving extra FSI to get out of infrastructure 'chakravyuha': Gadgil,"Anant Gadgil suggests halting additional FSI in Mumbai and Pune due to infrastructure saturation and increased flooding. He proposes developing satellite townships with incentives for companies to relocate, ensuring employee residency to ease traffic. Gadgil …","https://img.etimg.com/thumb/msid-121545167,width-1200,height-630,imgsize-287704,overlay-economictimes/articleshow.jpg",2025-06-01T03:28:04Z,https://web.archive.org/web/20250601043541/https://economictimes.indiatimes.com/news/india/build-satellite-towns-instead-of-giving-extra-fsi-to-get-out-of-infrastructure-chakravyuha-gadgil/articleshow/121545068.cms,"Mumbai: As mega urban centres like Mumbai and Pune are getting trapped in the 'chakravyuha' of flyovers and roads and reaching a saturation point, the government should stop giving additional floor s… [+5188 chars]",,en,'flooding rain'
https://timesofindia.indiatimes.com/city/agartala/flash-floods-waterlogging-hit-agartala-life-disrupted-imd-issues-heavy-rainfall-alert/articleshow/121545901.cms,https://timesofindia.indiatimes.com/city/agartala/flash-floods-waterlogging-hit-agartala-life-disrupted-imd-issues-heavy-rainfall-alert/articleshow/121545901.cms,0,timesofindia.indiatimes.com,"Flash floods, waterlogging hit Agartala, life disrupted; IMD issues heavy rainfall alert","Agartala grapples with severe flash floods following incessant monsoon rains, disrupting normal life and prompting the displacement of over 6000 residents. The Chief Minister is monitoring the situation, while the administration has opened relief camps. IMD f…","https://static.toiimg.com/thumb/msid-121546131,width-1070,height-580,imgsize-12530,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",2025-06-01T05:44:36Z,https://web.archive.org/web/20250601071124/https://timesofindia.indiatimes.com/city/agartala/flash-floods-waterlogging-hit-agartala-life-disrupted-imd-issues-heavy-rainfall-alert/articleshow/121545901.cms,"Mouni Roys golden saree look after Cannes is so stunning, youll want to screenshot!",,en,'floods'
https://www.npr.org/2025/06/01/nx-s1-5379918/hurricane-helene-north-carolina-housing-crisis,https://www.npr.org/2025/06/01/nx-s1-5379918/hurricane-helene-north-carolina-housing-crisis,0,www.npr.org,North Carolina had a housing crisis before Hurricane Helene; now it's even worse,Hurricanes have gotten larger and wetter because of climate change and inland communities are at greater risk from heavy flooding. That's what Hurricane Helene did to western North Carolina last year.,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/4000x2250+0+0/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Ffd%2Ff1%2F56ab0b3744bebebab4829804ae9e%2Fhammar-nc-flooding-web-1.jpg,2025-06-01T10:00:00Z,,"FAIRVIEW, N.C. Before Hurricane Helene last September, Stuart and Jackie Pacheo's home was wedged between the highway and a small creek in this town just outside Asheville.
""We're standing in what u… [+12280 chars]",,en,'flooding'
https://phys.org/news/2025-06-sudden-hailstorm-lashes-egypt-alexandria.html,https://phys.org/news/2025-06-sudden-hailstorm-lashes-egypt-alexandria.html,0,phys.org,Sudden hailstorm lashes Egypt's Alexandria,"An unseasonal rainstorm battered the Egyptian city of Alexandria on Saturday, flooding roads and damaging seafront businesses in the latest bout of erratic weather to hit the region.",https://scx2.b-cdn.net/gfx/news/2025/hailstones-covered-the.jpg,2025-06-01T10:30:02Z,https://web.archive.org/web/20250601104130/https://phys.org/news/2025-06-sudden-hailstorm-lashes-egypt-alexandria.html,"An unseasonal rainstorm battered the Egyptian city of Alexandria on Saturday, flooding roads and damaging seafront businesses in the latest bout of erratic weather to hit the region.
Hailstones pelt… [+1670 chars]",,en,'flooding rain'
https://www.aljazeera.com/news/2025/6/1/dozens-killed-in-indias-northeast-after-rains-trigger-floods-landslides,https://www.aljazeera.com/news/2025/6/1/dozens-killed-in-indias-northeast-after-rains-trigger-floods-landslides,0,www.aljazeera.com,"Dozens killed in India’s northeast after rains trigger floods, landslides",Relentless monsoon rains across the northeastern states leave a trail of deaths and destruction.,https://www.aljazeera.com/wp-content/uploads/2025/06/000_48PV2C8-1748767385.jpg?resize=1200%2C675,2025-06-01T11:03:20Z,https://web.archive.org/web/20250601112117/http://www.aljazeera.com/news/2025/6/1/dozens-killed-in-indias-northeast-after-rains-trigger-floods-landslides,"At least 30 people have died in Indias northeast after relentless monsoon rains caused floods and landslides over the weekend, Indian officials and media reports say.
Authorities on Sunday said at l… [+2325 chars]",,en,'floods'
https://www.aljazeera.com/news/2025/6/1/nigeria-flash-floods-which-is-most-affected-area-what-caused-the-deluge,https://www.aljazeera.com/news/2025/6/1/nigeria-flash-floods-which-is-most-affected-area-what-caused-the-deluge,0,www.aljazeera.com,"Nigeria flash floods: Which is most affected area, what caused the deluge?",At least 150 people killed and many more missing after torrential rains cause flooding in Mokwa city in Niger State.,https://www.aljazeera.com/wp-content/uploads/2025/06/AP25150778188586-1748760717.jpg?resize=1920%2C1440,2025-06-01T11:44:02Z,https://web.archive.org/web/20250601121019/http://www.aljazeera.com/news/2025/6/1/nigeria-flash-floods-which-is-most-affected-area-what-caused-the-deluge,"Flash floods triggered by heavy rains have devastated a central Nigerian state, killing at least 150 people and displacing thousands since Thursday, and rescue workers say the toll could rise.
Searc… [+6233 chars]",,en,'floods'
https://www.fark.com/comments/13691524/Day-1194-of-WW3-Europe-faces-reality-plans-on-helping-Ukraine-without-US-OPEC-drives-down-oil-prices-over-Moscows-objections-russian-disinformation-is-flooding-Poland-ahead-of-todays-election-This-is-your-Sunday-Ukraine-War-conversation,https://www.fark.com/comments/13691524/Day-1194-of-WW3-Europe-faces-reality-plans-on-helping-Ukraine-without-US-OPEC-drives-down-oil-prices-over-Moscows-objections-russian-disinformation-is-flooding-Poland-ahead-of-todays-election-This-is-your-Sunday-Ukraine-War-conversation,0,www.fark.com,"Day 1,194 of WW3. Europe faces reality, plans on helping Ukraine without US. OPEC drives down oil prices over Moscow's objections, and russian disinformation is flooding Poland ahead of today's election. This is your Sunday Ukraine War conversation [News]","Day 1,194 of WW3. Europe faces reality, plans on helping Ukraine without US. OPEC drives down oil prices over Moscow's objections, and russian disinformation is flooding Poland ahead of today's election. This is your Sunday Ukraine War conversation",https://usrimg-full.fark.net/l/lB/fark_lBfskpMREabr69ZqzjjDKfHta4c.jpg?AWSAccessKeyId=JO3ELGV4BGLFW7Y3EZXN&Expires=1749441600&Signature=mfdsF02WiGwLjjYZdfLSjpGqx6E%3D,2025-06-01T12:00:00Z,,"Today's news feeds from Kyiv:KYIV POSThttps://www.kyivpost.com/topic/war-in-ukraine
Russian Losses in Ukraine: 988,560 Troops Out of Commission as of June 1Daily updates from the General Staff of th… [+4874 chars]",,en,'flooding rain'
https://www.npr.org/sections/goats-and-soda/2025/06/01/g-s1-69308/the-women-of-no-sex-for-fish-are-survivors-but-their-survival-is-precarious,https://www.npr.org/sections/goats-and-soda/2025/06/01/g-s1-69308/the-women-of-no-sex-for-fish-are-survivors-but-their-survival-is-precarious,0,www.npr.org,The women of No Sex for Fish are survivors — but their survival is precarious,"A group of women in Kenya rebelled against trading sex for a fisherman's catch to sell. They got their own boats, had success — but in past years have faced floods and now fears about HIV medications.",https://npr.brightspotcdn.com/dims3/default/strip/false/crop/3000x1688+0+156/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F87%2Fad%2F84865a32419da975c2398c2b7cbf%2Fmg-7502-juliagunther.jpg,2025-06-01T12:49:51Z,,"""Our members are surviving with grace,"" says Justine Adhiambo Obura, the chairperson of No Sex for Fish.
She's talking about a cooperative of 20 women who did the unthinkable. They are fishmongers f… [+10913 chars]",,en,'floods'
